video_id,label,frames,label_id,shape,format
819,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
828,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
830,Sliding Two Fingers Up,37,13,"(100, 132)",JPEG
833,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
835,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
836,Doing other things,37,0,"(100, 176)",JPEG
846,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
872,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
876,Stop Sign,37,14,"(100, 132)",JPEG
889,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
891,Stop Sign,37,14,"(100, 176)",JPEG
892,Doing other things,37,0,"(100, 132)",JPEG
902,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
908,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
917,Doing other things,37,0,"(100, 176)",JPEG
925,Stop Sign,37,14,"(100, 176)",JPEG
929,Doing other things,37,0,"(100, 176)",JPEG
937,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
940,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
965,Sliding Two Fingers Up,37,13,"(100, 132)",JPEG
975,Doing other things,37,0,"(100, 176)",JPEG
993,Sliding Two Fingers Right,37,12,"(100, 132)",JPEG
1000,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1007,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
1011,Doing other things,37,0,"(100, 176)",JPEG
1028,Doing other things,37,0,"(100, 176)",JPEG
1034,Doing other things,37,0,"(100, 176)",JPEG
1051,Doing other things,37,0,"(100, 176)",JPEG
1053,Doing other things,37,0,"(100, 176)",JPEG
1056,Doing other things,37,0,"(100, 176)",JPEG
1070,Stop Sign,37,14,"(100, 176)",JPEG
1093,Doing other things,37,0,"(100, 176)",JPEG
1138,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
1141,Doing other things,37,0,"(100, 176)",JPEG
1167,Doing other things,37,0,"(100, 176)",JPEG
1173,Stop Sign,37,14,"(100, 132)",JPEG
1180,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
1204,Stop Sign,37,14,"(100, 176)",JPEG
1229,Doing other things,37,0,"(100, 176)",JPEG
1250,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
1265,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
1266,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
1277,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1289,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1308,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
1312,Sliding Two Fingers Up,37,13,"(100, 132)",JPEG
1320,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
1321,Doing other things,37,0,"(100, 132)",JPEG
1350,Doing other things,37,0,"(100, 176)",JPEG
1354,Doing other things,37,0,"(100, 176)",JPEG
1396,Doing other things,37,0,"(100, 176)",JPEG
1397,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
1398,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
1411,Doing other things,37,0,"(100, 176)",JPEG
1421,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
1422,Doing other things,37,0,"(100, 176)",JPEG
1434,Doing other things,37,0,"(100, 176)",JPEG
1436,Doing other things,37,0,"(100, 176)",JPEG
1457,Doing other things,37,0,"(100, 132)",JPEG
1492,Sliding Two Fingers Right,37,12,"(100, 132)",JPEG
1509,Sliding Two Fingers Right,37,12,"(100, 132)",JPEG
1517,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1521,Doing other things,37,0,"(100, 176)",JPEG
1524,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1525,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1527,Stop Sign,37,14,"(100, 132)",JPEG
1532,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
1533,Doing other things,37,0,"(100, 176)",JPEG
1543,Doing other things,37,0,"(100, 176)",JPEG
1547,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
1552,Doing other things,37,0,"(100, 176)",JPEG
1554,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1558,Doing other things,37,0,"(100, 176)",JPEG
1561,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
1567,Doing other things,37,0,"(100, 176)",JPEG
1588,Doing other things,37,0,"(100, 176)",JPEG
1597,Doing other things,37,0,"(100, 176)",JPEG
1611,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1629,Doing other things,37,0,"(100, 176)",JPEG
1653,Doing other things,37,0,"(100, 176)",JPEG
1671,Doing other things,37,0,"(100, 176)",JPEG
1677,Sliding Two Fingers Left,37,11,"(100, 132)",JPEG
1681,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
1693,Doing other things,37,0,"(100, 176)",JPEG
1697,Stop Sign,37,14,"(100, 176)",JPEG
1702,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1717,Doing other things,37,0,"(100, 176)",JPEG
1747,Doing other things,37,0,"(100, 176)",JPEG
1750,Doing other things,37,0,"(100, 132)",JPEG
1759,Doing other things,37,0,"(100, 176)",JPEG
1804,Doing other things,37,0,"(100, 132)",JPEG
1831,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
1834,Doing other things,37,0,"(100, 176)",JPEG
1845,Doing other things,37,0,"(100, 132)",JPEG
1858,Doing other things,37,0,"(100, 176)",JPEG
1878,Stop Sign,37,14,"(100, 176)",JPEG
1893,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1913,Doing other things,37,0,"(100, 176)",JPEG
1917,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
1922,Sliding Two Fingers Up,37,13,"(100, 132)",JPEG
1924,Stop Sign,37,14,"(100, 176)",JPEG
1957,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1964,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1966,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
1973,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
2002,Doing other things,37,0,"(100, 176)",JPEG
2011,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
2038,Sliding Two Fingers Down,37,10,"(100, 132)",JPEG
2046,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
2063,Sliding Two Fingers Right,37,12,"(100, 132)",JPEG
2067,Doing other things,37,0,"(100, 176)",JPEG
2071,Doing other things,37,0,"(100, 176)",JPEG
2102,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
2121,Doing other things,37,0,"(100, 176)",JPEG
2124,Doing other things,37,0,"(100, 176)",JPEG
2143,Doing other things,37,0,"(100, 176)",JPEG
2153,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
2156,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
2172,Stop Sign,37,14,"(100, 176)",JPEG
2192,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
2209,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
2214,Stop Sign,37,14,"(100, 176)",JPEG
2235,Stop Sign,37,14,"(100, 176)",JPEG
2237,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
2267,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
2273,Doing other things,37,0,"(100, 176)",JPEG
2276,Doing other things,37,0,"(100, 176)",JPEG
2279,Sliding Two Fingers Up,37,13,"(100, 132)",JPEG
2281,Doing other things,37,0,"(100, 176)",JPEG
2290,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
2300,Stop Sign,37,14,"(100, 176)",JPEG
2313,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
2338,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
2340,Stop Sign,37,14,"(100, 176)",JPEG
2360,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
2362,Doing other things,37,0,"(100, 176)",JPEG
2375,Sliding Two Fingers Left,37,11,"(100, 132)",JPEG
2385,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
2419,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
2439,Stop Sign,37,14,"(100, 132)",JPEG
2481,Doing other things,37,0,"(100, 176)",JPEG
2489,Doing other things,37,0,"(100, 176)",JPEG
2521,Stop Sign,37,14,"(100, 132)",JPEG
2529,Doing other things,37,0,"(100, 176)",JPEG
2538,Doing other things,37,0,"(100, 176)",JPEG
2541,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
2556,Stop Sign,37,14,"(100, 176)",JPEG
2560,Stop Sign,37,14,"(100, 176)",JPEG
2578,Sliding Two Fingers Up,37,13,"(100, 132)",JPEG
2585,Doing other things,37,0,"(100, 176)",JPEG
2599,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
2607,Doing other things,37,0,"(100, 176)",JPEG
2612,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
2613,Sliding Two Fingers Right,37,12,"(100, 132)",JPEG
2617,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
2618,Doing other things,37,0,"(100, 176)",JPEG
2620,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
2630,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
2650,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
2663,Doing other things,37,0,"(100, 176)",JPEG
2709,Stop Sign,37,14,"(100, 132)",JPEG
2717,Doing other things,37,0,"(100, 132)",JPEG
2718,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
2725,Doing other things,37,0,"(100, 176)",JPEG
2748,Stop Sign,37,14,"(100, 176)",JPEG
2753,Doing other things,37,0,"(100, 176)",JPEG
2774,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
2799,Doing other things,37,0,"(100, 176)",JPEG
2841,Doing other things,37,0,"(100, 176)",JPEG
2847,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
2855,Doing other things,37,0,"(100, 176)",JPEG
2882,Doing other things,37,0,"(100, 176)",JPEG
2883,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
2893,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
2897,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
2898,Doing other things,37,0,"(100, 176)",JPEG
2913,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
2927,Stop Sign,37,14,"(100, 176)",JPEG
2934,Stop Sign,37,14,"(100, 176)",JPEG
2938,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
2947,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
2951,Stop Sign,37,14,"(100, 176)",JPEG
2993,Doing other things,37,0,"(100, 176)",JPEG
3009,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
3021,Stop Sign,37,14,"(100, 176)",JPEG
3028,Doing other things,37,0,"(100, 176)",JPEG
3033,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
3035,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
3042,Sliding Two Fingers Up,37,13,"(100, 132)",JPEG
3059,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
3062,Sliding Two Fingers Up,37,13,"(100, 132)",JPEG
3074,Doing other things,37,0,"(100, 132)",JPEG
3075,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
3082,Doing other things,37,0,"(100, 176)",JPEG
3085,Doing other things,37,0,"(100, 176)",JPEG
3091,Doing other things,37,0,"(100, 176)",JPEG
3092,Stop Sign,37,14,"(100, 176)",JPEG
3093,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
3106,Doing other things,37,0,"(100, 176)",JPEG
3119,Sliding Two Fingers Right,37,12,"(100, 132)",JPEG
3126,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
3137,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
3142,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
3153,Doing other things,37,0,"(100, 176)",JPEG
3168,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
3174,Stop Sign,37,14,"(100, 176)",JPEG
3192,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
3199,Doing other things,37,0,"(100, 176)",JPEG
3209,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
3223,Doing other things,37,0,"(100, 176)",JPEG
3228,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
3232,Doing other things,37,0,"(100, 176)",JPEG
3238,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
3253,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
3258,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
3264,Doing other things,37,0,"(100, 176)",JPEG
3284,Doing other things,37,0,"(100, 176)",JPEG
3315,Stop Sign,37,14,"(100, 176)",JPEG
3353,Doing other things,37,0,"(100, 176)",JPEG
3355,Doing other things,37,0,"(100, 176)",JPEG
3392,Sliding Two Fingers Left,37,11,"(100, 132)",JPEG
3396,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
3399,Stop Sign,37,14,"(100, 176)",JPEG
3436,Doing other things,37,0,"(100, 132)",JPEG
3441,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
3457,Stop Sign,37,14,"(100, 176)",JPEG
3458,Sliding Two Fingers Left,37,11,"(100, 132)",JPEG
3512,Stop Sign,37,14,"(100, 132)",JPEG
3521,Doing other things,37,0,"(100, 176)",JPEG
3526,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
3528,Doing other things,37,0,"(100, 176)",JPEG
3535,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
3554,Sliding Two Fingers Down,37,10,"(100, 132)",JPEG
3555,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
3566,Doing other things,37,0,"(100, 176)",JPEG
3569,Sliding Two Fingers Left,37,11,"(100, 132)",JPEG
3576,Doing other things,37,0,"(100, 176)",JPEG
3581,Doing other things,37,0,"(100, 176)",JPEG
3585,Doing other things,37,0,"(100, 176)",JPEG
3592,Doing other things,37,0,"(100, 176)",JPEG
3595,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
3609,Doing other things,37,0,"(100, 176)",JPEG
3615,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
3646,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
3650,Doing other things,37,0,"(100, 176)",JPEG
3656,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
3670,Doing other things,37,0,"(100, 176)",JPEG
3691,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
3698,Doing other things,37,0,"(100, 176)",JPEG
3720,Sliding Two Fingers Left,37,11,"(100, 132)",JPEG
3732,Stop Sign,37,14,"(100, 176)",JPEG
3750,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
3752,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
3756,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
3767,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
3784,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
3791,Stop Sign,37,14,"(100, 176)",JPEG
3798,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
3802,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
3806,Doing other things,37,0,"(100, 176)",JPEG
3809,Stop Sign,37,14,"(100, 132)",JPEG
3819,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
3852,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
3866,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
3875,Stop Sign,37,14,"(100, 176)",JPEG
3879,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
3886,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
3889,Stop Sign,37,14,"(100, 176)",JPEG
3944,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
3953,Doing other things,37,0,"(100, 176)",JPEG
3976,Sliding Two Fingers Up,37,13,"(100, 132)",JPEG
3999,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
4005,Stop Sign,37,14,"(100, 176)",JPEG
4032,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
4036,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
4040,Doing other things,37,0,"(100, 132)",JPEG
4041,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4054,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
4089,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
4111,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4160,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
4189,Stop Sign,37,14,"(100, 176)",JPEG
4204,Doing other things,37,0,"(100, 176)",JPEG
4210,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4213,Doing other things,37,0,"(100, 176)",JPEG
4220,Stop Sign,37,14,"(100, 132)",JPEG
4222,Doing other things,37,0,"(100, 176)",JPEG
4231,Doing other things,37,0,"(100, 176)",JPEG
4240,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
4245,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4247,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4275,Doing other things,37,0,"(100, 176)",JPEG
4278,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4283,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4310,Stop Sign,37,14,"(100, 176)",JPEG
4330,Stop Sign,37,14,"(100, 132)",JPEG
4363,Doing other things,37,0,"(100, 132)",JPEG
4365,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4367,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
4371,Doing other things,37,0,"(100, 176)",JPEG
4390,Doing other things,37,0,"(100, 176)",JPEG
4399,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4403,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4404,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
4427,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4434,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
4438,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
4442,Stop Sign,37,14,"(100, 176)",JPEG
4482,Doing other things,37,0,"(100, 132)",JPEG
4489,Doing other things,37,0,"(100, 176)",JPEG
4516,Doing other things,37,0,"(100, 176)",JPEG
4521,Stop Sign,37,14,"(100, 176)",JPEG
4531,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
4536,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
4555,Doing other things,37,0,"(100, 176)",JPEG
4593,Doing other things,37,0,"(100, 176)",JPEG
4613,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
4623,Doing other things,37,0,"(100, 176)",JPEG
4635,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
4636,Doing other things,37,0,"(100, 176)",JPEG
4650,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
4657,Doing other things,37,0,"(100, 176)",JPEG
4669,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
4679,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
4706,Doing other things,37,0,"(100, 176)",JPEG
4715,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4729,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
4731,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4752,Doing other things,37,0,"(100, 176)",JPEG
4753,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
4783,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4793,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
4797,Doing other things,37,0,"(100, 176)",JPEG
4803,Doing other things,37,0,"(100, 176)",JPEG
4809,Doing other things,37,0,"(100, 176)",JPEG
4828,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
4836,Doing other things,37,0,"(100, 132)",JPEG
4858,Sliding Two Fingers Up,37,13,"(100, 142)",JPEG
4862,Doing other things,37,0,"(100, 132)",JPEG
4864,Doing other things,37,0,"(100, 132)",JPEG
4901,Stop Sign,37,14,"(100, 176)",JPEG
4905,Stop Sign,37,14,"(100, 176)",JPEG
4953,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
4957,Stop Sign,37,14,"(100, 132)",JPEG
4966,Doing other things,37,0,"(100, 176)",JPEG
4969,Doing other things,37,0,"(100, 142)",JPEG
4971,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
5039,Doing other things,37,0,"(100, 176)",JPEG
5050,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
5069,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
5082,Stop Sign,37,14,"(100, 176)",JPEG
5086,Doing other things,37,0,"(100, 176)",JPEG
5094,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
5098,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
5115,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
5137,Sliding Two Fingers Down,37,10,"(100, 132)",JPEG
5143,Stop Sign,37,14,"(100, 176)",JPEG
5147,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
5165,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
5174,Doing other things,37,0,"(100, 176)",JPEG
5180,Stop Sign,37,14,"(100, 176)",JPEG
5190,Doing other things,37,0,"(100, 176)",JPEG
5201,Doing other things,37,0,"(100, 176)",JPEG
5239,Sliding Two Fingers Up,37,13,"(100, 100)",JPEG
5258,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
5262,Stop Sign,37,14,"(100, 176)",JPEG
5267,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
5268,Doing other things,37,0,"(100, 176)",JPEG
5269,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
5278,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
5296,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
5312,Doing other things,37,0,"(100, 176)",JPEG
5322,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
5326,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
5327,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
5347,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
5354,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
5359,Doing other things,37,0,"(100, 176)",JPEG
5365,Doing other things,37,0,"(100, 176)",JPEG
5370,Doing other things,37,0,"(100, 176)",JPEG
5382,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
5388,Stop Sign,37,14,"(100, 176)",JPEG
5398,Doing other things,37,0,"(100, 176)",JPEG
5412,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
5417,Sliding Two Fingers Down,37,10,"(100, 132)",JPEG
5421,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
5432,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
5436,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
5438,Doing other things,37,0,"(100, 176)",JPEG
5439,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
5447,Stop Sign,37,14,"(100, 132)",JPEG
5450,Doing other things,37,0,"(100, 176)",JPEG
5460,Stop Sign,37,14,"(100, 176)",JPEG
5479,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
5498,Stop Sign,37,14,"(100, 176)",JPEG
5511,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
5516,Stop Sign,37,14,"(100, 176)",JPEG
5529,Doing other things,37,0,"(100, 132)",JPEG
5547,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
5555,Doing other things,37,0,"(100, 132)",JPEG
5579,Doing other things,37,0,"(100, 176)",JPEG
5585,Doing other things,37,0,"(100, 176)",JPEG
